Timestamp,HR_SYS/冷机1LDS出水温度 (°C),HR_SYS/冷机1LDS回水温度 (°C),HR_SYS/冷机1LQS出水温度 (°C),HR_SYS/冷机1LQS回水温度 (°C),HR_SYS/冷水机1实际负荷 (%),HR_SYS/冷机2LDS出水温度 (°C),HR_SYS/冷机2LDS回水温度 (°C),HR_SYS/冷机2LQS出水温度 (°C),HR_SYS/冷机2LQS回水温度 (°C),HR_SYS/冷水机2实际负荷 (%),HR_SYS/冷机3LDS出水温度 (°C),HR_SYS/冷机3LDS回水温度 (°C),HR_SYS/冷机3LQS出水温度 (°C),HR_SYS/冷机3LQS回水温度 (°C),HR_SYS/冷水机3实际负荷 (%),HR_SYS/冷机4LDS出水温度 (°C),HR_SYS/冷机4LDS回水温度 (°C),HR_SYS/冷机4LQS出水温度 (°C),HR_SYS/冷机4LQS回水温度 (°C),HR_SYS/冷水机4实际负荷 (%)
2021-一月-1 00:00:00 AM CT,13.6,16.5,28.8,26.5,62.2,20.6,20.7,26.3,26.4,0,20.9,21.3,23.8,21.6,0,20.8,21,23.7,21.7,0
2021-一月-1 01:00:00 AM CT,13.6,16.4,29,26.8,61.2,20.6,20.7,26.3,26.5,0,20.9,21.3,23.8,21.6,0,20.8,21,23.7,21.7,0
2021-一月-1 02:00:00 AM CT,13.6,16.5,28.8,26.5,61.2,20.6,20.7,26.3,22.5,0,20.9,21.3,23.8,21.6,0,20.8,20.9,23.7,21.7,0
2021-一月-1 03:00:00 AM CT,13.6,16.4,28.5,26.3,61,20.6,20.6,26.3,26.2,0,20.9,21.3,23.8,21.6,0,20.8,20.9,23.7,21.7,0
2021-一月-1 04:00:00 AM CT,13.5,16.4,28.9,26.6,61.9,20.6,20.6,26.3,26.4,0,20.9,21.3,23.8,21.6,0,20.8,20.9,23.7,21.7,0
2021-一月-1 05:00:00 AM CT,13.6,16.4,28.8,26.5,61.3,20.6,20.6,26.3,26.2,0,20.9,21.3,23.8,21.6,0,20.8,20.9,23.7,21.7,0
2021-一月-1 06:00:00 AM CT,13.6,16.4,28.8,26.5,61.3,20.6,20.6,26.3,26.2,0,20.9,21.3,23.8,21.6,0,20.8,20.9,23.5,21.7,0
2021-一月-1 07:00:00 AM CT,13.6,16.5,28.5,26.2,61.8,20.6,20.6,26.3,26.2,0,20.9,21.3,23.8,21.6,0,20.8,20.9,23.4,21.7,0
2021-一月-1 08:00:00 AM CT,13.6,16.4,28.9,26.7,62.2,20.6,20.6,26.3,26.2,0,20.9,21.2,23.8,21.6,0,20.8,20.9,23.4,21.7,0
2021-一月-1 09:00:00 AM CT,13.6,16.4,28.7,26.5,62.8,20.5,20.6,26.3,26.2,0,20.8,21.2,23.8,21.6,0,20.7,20.9,23.4,21.7,0
