Timestamp,HR_SYS/室外1温度 (°C),HR_SYS/室外1湿度 (%),HR_SYS/室外2温度 (°C),HR_SYS/室外2湿度 (%),HR_SYS/室外温度值 (°C),HR_SYS/冷冻水回水温度1 (°C),HR_SYS/冷冻水回水温度2 (°C),HR_SYS/冷冻水供水温度1 (°C),HR_SYS/冷冻水供水温度2 (°C),HR_SYS/冷却水供水温度1 (°C),HR_SYS/冷却水供水温度2 (°C),HR_SYS/冷却水回水温度1 (°C),HR_SYS/冷却水回水温度2 (°C),HR_SYS/冷却水供温1设定 (°C),HR_SYS/冷却水供温2设定 (°C),HR_SYS/冷水机1温度设定 (°C),HR_SYS/冷水机2温度设定 (°C),HR_SYS/冷水机3温度设定 (°C),HR_SYS/冷水机4温度设定 (°C)
2021-一月-1 00:00:00 AM CT,20.73,34.72,20.10,39.63,20.4,21.39,21.14,14.40,14.20,25.86,27.13,29.22,29.57,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 01:00:00 AM CT,20.73,35.34,20.06,39.89,20.4,21.38,21.20,14.41,14.20,26.41,27.17,29.34,29.77,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 02:00:00 AM CT,20.59,34.25,19.91,39.38,20.2,21.38,21.10,14.41,14.21,26.07,27.01,29.18,29.61,0.00,0.00,0.0,0.0,0.0,0.0
2021-一月-1 03:00:00 AM CT,20.38,33.67,19.73,39.32,20.1,21.37,21.12,14.42,14.21,25.80,26.97,28.98,29.34,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 04:00:00 AM CT,20.26,35.43,19.50,41.17,19.9,21.40,21.12,14.42,14.22,26.01,26.82,29.48,29.66,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 05:00:00 AM CT,20.08,35.46,19.45,40.78,19.8,21.40,21.10,14.41,14.20,26.14,27.10,29.14,29.62,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 06:00:00 AM CT,20.17,35.66,19.37,41.08,19.8,21.40,21.13,14.41,14.20,25.97,27.15,29.17,29.56,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 07:00:00 AM CT,20.10,35.26,19.49,41.67,19.8,21.39,21.17,14.42,14.21,25.67,26.78,28.95,29.30,0.00,0.00,0.0,0.0,0.0,13.5
2021-一月-1 08:00:00 AM CT,21.01,29.48,19.84,38.69,20.4,21.37,21.14,14.42,14.21,26.24,26.86,29.48,29.72,0.00,0.00,0.0,0.0,0.0,0.0
2021-一月-1 09:00:00 AM CT,21.78,27.48,20.42,36.61,21.1,21.35,21.10,14.43,14.22,26.11,26.91,29.15,29.51,0.00,0.00,0.0,0.0,0.0,0.0
